cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABa:1,ABa,1,10695,-14305,267,268,10695,38.0,186,266,82,2776219
ABal:2,ABal,2,10621,-14379,273,270,10621,42.0,188,262,78,2585102
ABal:3,ABal,3,10420,-14580,147,147,10420,45.0,208,248,66,1195027
ABala:4,ABala,4,10249,-14751,82,83,10249,36.0,196,234,50,620711
ABala:5,ABala,5,10232,-14768,104,104,10232,38.0,182,216,50,521057
ABala:6,ABala,6,10215,-14785,126,128,10215,38.0,178,224,58,688217
ABala:7,ABala,7,10096,-14904,98,101,10096,38.0,164,204,62,1036744
ABala:8,ABala,8,10152,-14848,105,110,10152,40.0,162,200,66,1416193
ABala:9,ABala,9,10173,-14827,58,59,10173,38.0,170,204,66,1618678
ABala:10,ABala,10,10183,-14817,176,185,10183,37.0,170,196,70,2039505
ABala:11,ABala,11,10177,-14823,169,166,10177,37.0,176,194,70,2124147
ABala:12,ABala,12,10338,-14662,328,330,10338,37.0,184,200,70,2192825
ABala:13,ABala,13,10281,-14719,178,177,10281,38.0,188,198,70,2207233
ABala:14,ABala,14,10204,-14796,94,94,10204,36.0,192,192,62,1044940
ABala:15,ABala,15,10075,-14925,-124,-124,10075,40.0,190,190,50,724881
ABalaa:16,ABalaa,16,9949,-15051,-96,-96,9949,39.0,172,194,46,567071
ABalaa:17,ABalaa,17,10300,-14700,190,189,10300,38.0,162,192,50,644653
ABalaa:18,ABalaa,18,9967,-15033,-91,-92,9967,40.0,154,192,54,835285
ABalaa:19,ABalaa,19,10048,-14952,35,35,10048,43.0,160,202,58,1030283
ABalaa:20,ABalaa,20,10120,-14880,46,46,10120,43.0,162,196,58,1119678
ABalaa:21,ABalaa,21,10110,-14890,21,20,10110,42.0,154,190,58,1180638
ABalaa:22,ABalaa,22,10156,-14844,-19,-18,10156,40.0,162,192,58,1251522
ABalaa:23,ABalaa,23,10305,-14695,120,120,10305,40.0,166,186,58,1242045
ABalaa:24,ABalaa,24,10340,-14660,78,76,10340,38.0,164,184,58,1258069
ABalaa:25,ABalaa,25,10268,-14732,23,23,10268,37.0,172,184,58,1226699
ABalaa:26,ABalaa,26,10341,-14659,19,12,10341,40.0,172,178,58,1252828
ABalaa:27,ABalaa,27,10400,-14600,75,73,10400,38.0,170,190,58,1253681
ABalaa:28,ABalaa,28,10439,-14561,99,102,10439,40.0,168,186,62,1510929
ABalaa:29,ABalaa,29,10278,-14722,-35,-37,10278,38.0,168,184,58,1388524
ABalaa:30,ABalaa,30,10443,-14557,99,98,10443,37.0,168,178,58,1383411
ABalaa:31,ABalaa,31,10482,-14518,176,176,10482,38.0,168,182,58,1452101
ABalaa:32,ABalaa,32,10727,-14273,218,218,10727,41.0,176,188,50,903606
ABalaaa:33,ABalaaa,33,10621,-14379,134,134,10621,39.0,172,176,42,522254
ABalaaa:34,ABalaaa,34,10832,-14168,260,260,10832,42.0,176,178,46,598233
ABalaaa:35,ABalaaa,35,10481,-14519,-102,-102,10481,42.0,164,174,46,585922
ABalaaa:36,ABalaaa,36,10696,-14304,142,142,10696,39.0,164,170,50,749641
ABalaaa:37,ABalaaa,37,10660,-14340,16,16,10660,37.0,164,170,50,812794
ABalaaa:38,ABalaaa,38,10816,-14184,117,116,10816,35.0,158,182,46,673161
ABalaaa:39,ABalaaa,39,10958,-14042,98,99,10958,32.0,160,180,50,815951
ABalaaa:40,ABalaaa,40,11042,-13958,89,93,11042,33.0,162,180,50,843343
ABalaaa:41,ABalaaa,41,11205,-13795,168,170,11205,36.0,152,188,50,890809
ABalaaa:42,ABalaaa,42,11118,-13882,-94,-92,11118,36.0,148,186,50,892661
ABalaaa:43,ABalaaa,43,11221,-13779,-7,-9,11221,36.0,164,184,50,845418
ABalaaa:44,ABalaaa,44,11366,-13634,93,94,11366,36.0,164,190,50,893574
ABalaaa:45,ABalaaa,45,11504,-13496,129,128,11504,37.0,160,182,50,855118
ABalaaa:46,ABalaaa,46,11460,-13540,164,164,11460,39.0,164,180,54,987778
ABalaaa:47,ABalaaa,47,11309,-13691,-63,-63,11309,39.0,170,188,50,867019
ABalaaa:48,ABalaaa,48,11449,-13551,129,129,11449,38.0,166,188,54,1005694
ABalaaa:49,ABalaaa,49,11689,-13311,241,239,11689,37.0,164,192,50,887372
ABalaaa:50,ABalaaa,50,11498,-13502,36,36,11498,40.0,162,190,50,851948
ABalaaa:51,ABalaaa,51,11600,-13400,54,56,11600,40.0,174,180,50,876710
ABalaaa:52,ABalaaa,52,11871,-13129,304,305,11871,40.0,178,182,50,890758
