cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABa:1,ABa,1,421,-24579,-830,-831,421,39.0,448,572,106,4251334
ABa:2,ABa,2,487,-24513,-568,-568,487,34.0,440,570,74,1203997
ABal:3,ABal,3,693,-24307,-513,-530,693,41.0,410,582,58,503673
ABal:4,ABal,4,834,-24166,-581,-581,834,37.0,380,594,58,517962
ABal:5,ABal,5,822,-24178,-596,-596,822,35.0,374,606,66,547539
ABal:6,ABal,6,679,-24321,-769,-769,679,37.0,364,610,74,863420
ABal:7,ABal,7,624,-24376,-622,-624,624,42.0,376,640,70,935397
ABal:8,ABal,8,631,-24369,-595,-610,631,45.0,380,634,78,1351163
ABal:9,ABal,9,829,-24171,-530,-553,829,40.0,382,642,78,1554868
ABal:10,ABal,10,688,-24312,-695,-716,688,41.0,372,640,86,2341380
ABal:11,ABal,11,773,-24227,-697,-698,773,36.0,366,658,86,2595299
ABal:12,ABal,12,679,-24321,-794,-796,679,33.0,370,660,90,3060526
ABal:13,ABal,13,696,-24304,-822,-825,696,29.0,390,656,90,2851698
ABal:14,ABal,14,672,-24328,-862,-863,672,29.0,396,642,74,1052602
ABala:15,ABala,15,794,-24206,-597,-624,794,40.0,422,630,54,391407
ABala:16,ABala,16,911,-24089,-488,-488,911,37.0,426,636,50,296632
ABala:17,ABala,17,816,-24184,-589,-589,816,35.0,444,640,54,318128
ABala:18,ABala,18,814,-24186,-647,-648,814,33.0,444,652,66,575514
ABala:19,ABala,19,782,-24218,-588,-601,782,30.0,444,664,70,853369
ABala:20,ABala,20,766,-24234,-679,-681,766,31.0,466,652,70,914524
ABala:21,ABala,21,809,-24191,-631,-634,809,33.0,456,650,70,982043
ABala:22,ABala,22,814,-24186,-603,-602,814,30.0,454,648,70,965417
ABala:23,ABala,23,746,-24254,-676,-675,746,31.0,466,648,70,945864
ABala:24,ABala,24,720,-24280,-705,-705,720,30.0,462,640,74,1052015
ABala:25,ABala,25,705,-24295,-651,-649,705,29.0,456,646,74,1013300
ABala:26,ABala,26,726,-24274,-644,-644,726,28.0,458,632,74,865438
ABala:27,ABala,27,614,-24386,-803,-799,614,31.0,458,626,78,721398
ABala:28,ABala,28,711,-24289,-686,-686,711,30.0,472,618,62,527057
ABalaa:29,ABalaa,29,869,-24131,-536,-536,869,28.0,472,640,46,260553
ABalaa:30,ABalaa,30,1044,-23956,-409,-409,1044,31.0,478,638,54,303887
ABalaa:31,ABalaa,31,845,-24155,-578,-577,845,33.0,474,644,54,302122
ABalaa:32,ABalaa,32,833,-24167,-503,-503,833,33.0,476,654,58,383214
ABalaa:33,ABalaa,33,654,-24346,-637,-637,654,31.0,470,658,58,429008
ABalaa:34,ABalaa,34,747,-24253,-486,-486,747,28.0,446,660,62,472557
ABalaa:35,ABalaa,35,713,-24287,-482,-482,713,28.0,446,654,62,490011
ABalaa:36,ABalaa,36,746,-24254,-449,-449,746,29.0,462,650,62,501652
ABalaa:37,ABalaa,37,759,-24241,-478,-478,759,31.0,462,656,62,509334
ABalaa:38,ABalaa,38,644,-24356,-588,-588,644,31.0,468,652,66,605367
ABalaa:39,ABalaa,39,737,-24263,-434,-434,737,31.0,470,656,62,521631
ABalaa:40,ABalaa,40,688,-24312,-524,-525,688,32.0,454,656,66,580759
ABalaa:41,ABalaa,41,674,-24326,-543,-542,674,32.0,452,656,62,495519
ABalaa:42,ABalaa,42,680,-24320,-541,-541,680,32.0,448,652,62,461856
ABalaa:43,ABalaa,43,625,-24375,-530,-530,625,33.0,454,652,62,464793
ABalaa:44,ABalaa,44,629,-24371,-614,-614,629,33.0,440,644,62,421687
ABalaa:45,ABalaa,45,699,-24301,-568,-569,699,33.0,444,642,62,325176
ABalaa:46,ABalaa,46,686,-24314,-552,-552,686,34.0,442,646,50,295244
ABalaaa:47,ABalaaa,47,931,-24069,-340,-341,931,40.0,472,656,42,181568
ABalaaa:48,ABalaaa,48,985,-24015,-498,-495,985,41.0,458,646,42,148594
ABalaaa:49,ABalaaa,49,792,-24208,-524,-545,792,41.0,452,650,42,131480
ABalaaa:50,ABalaaa,50,760,-24240,-441,-452,760,39.0,452,660,50,201620
ABalaaa:51,ABalaaa,51,673,-24327,-414,-425,673,39.0,462,664,50,217264
ABalaaa:52,ABalaaa,52,874,-24126,-238,-229,874,38.0,466,664,50,221477
ABalaaa:53,ABalaaa,53,878,-24122,-216,-223,878,38.0,470,662,50,233047
ABalaaa:54,ABalaaa,54,941,-24059,-234,-243,941,38.0,460,666,50,238756
