cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABa:1,ABa,1,847,-24153,-791,-791,847,21.0,476,198,78,678179
ABal:2,ABal,2,859,-24141,-583,-583,859,17.0,500,186,74,846626
ABal:3,ABal,3,836,-24164,-544,-544,836,17.0,522,182,78,1367761
ABal:4,ABal,4,965,-24035,-670,-670,965,21.0,512,172,86,2133317
ABal:5,ABal,5,901,-24099,-858,-858,901,23.0,494,162,86,2421785
ABal:6,ABal,6,867,-24133,-998,-998,867,28.0,488,152,90,3065220
ABal:7,ABal,7,861,-24139,-1085,-1085,861,30.0,482,158,82,1308923
ABal:8,ABal,8,904,-24096,-889,-889,904,39.0,484,184,62,916953
ABala:9,ABala,9,1062,-23938,-737,-740,1062,32.0,538,184,54,452915
ABala:10,ABala,10,838,-24162,-902,-902,838,35.0,544,174,54,353960
ABala:11,ABala,11,913,-24087,-1193,-1197,913,35.0,554,172,66,722820
ABala:12,ABala,12,839,-24161,-1101,-1102,839,33.0,566,164,70,1083020
ABala:13,ABala,13,859,-24141,-930,-930,859,31.0,566,158,70,1211160
ABala:14,ABala,14,980,-24020,-845,-845,980,28.0,554,168,74,1371973
ABala:15,ABala,15,976,-24024,-865,-865,976,30.0,560,162,74,1512531
ABala:16,ABala,16,959,-24041,-972,-972,959,31.0,570,170,74,1636358
ABala:17,ABala,17,905,-24095,-896,-897,905,32.0,576,182,78,1766092
ABala:18,ABala,18,862,-24138,-1052,-1052,862,32.0,574,186,78,1843935
ABala:19,ABala,19,923,-24077,-1119,-1119,923,34.0,578,190,66,722545
ABala:20,ABala,20,801,-24199,-1233,-1233,801,35.0,566,188,54,444724
ABalaa:21,ABalaa,21,1210,-23790,-794,-796,1210,38.0,580,152,50,383929
ABalaa:22,ABalaa,22,976,-24024,-988,-996,976,40.0,586,160,54,412445
ABalaa:23,ABalaa,23,853,-24147,-865,-860,853,40.0,596,160,58,553384
ABalaa:24,ABalaa,24,827,-24173,-955,-943,827,40.0,594,162,58,636140
